track_name,artist(s)_name,released_year,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams_category
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023,141381703.0,125,B,Major,80,89,83,31,0,8,4,Very High
LALA,Myke Towers,2023,133716286.0,92,C#,Major,71,61,74,7,0,10,4,High
vampire,Olivia Rodrigo,2023,140003974.0,138,F,Major,51,32,53,17,0,31,6,Very High
Cruel Summer,Taylor Swift,2019,800840817.0,170,A,Major,55,58,72,11,0,11,15,Very High
WHERE SHE GOES,Bad Bunny,2023,303236322.0,144,A,Minor,65,23,80,14,63,11,6,Very High
Sprinter,"Dave, Central Cee",2023,183706234.0,141,C#,Major,92,66,58,19,0,8,24,Very High
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023,725980112.0,148,F,Minor,67,83,76,48,0,8,3,Very High
Columbia,Quevedo,2023,58149378.0,100,F,Major,67,26,71,37,0,11,4,
fukumean,Gunna,2023,95217315.0,130,C#,Minor,85,22,62,12,0,28,9,Low
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023,553634067.0,170,D,Minor,81,56,48,21,0,8,33,Very High
un x100to,"Bad Bunny, Grupo Frontera",2023,505671438.0,83,F#,Minor,57,56,72,23,0,27,5,Very High
Super Shy,NewJeans,2023,58255150.0,150,F,Minor,78,52,82,18,0,15,7,
Flowers,Miley Cyrus,2023,1316855716.0,118,,Major,71,65,68,6,0,3,7,Very High
Daylight,David Kushner,2023,387570742.0,130,D,Minor,51,32,43,83,0,9,3,Very High
As It Was,Harry Styles,2022,2513188493.0,174,F#,Minor,52,66,73,34,0,31,6,Very High
Kill Bill,SZA,2022,1163093654.0,89,G#,Major,64,43,73,5,17,16,4,Very High
Cupid - Twin Ver.,Fifty Fifty,2023,496795686.0,120,B,Minor,78,76,59,43,0,34,3,Very High
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,30546883.0,78,,Major,44,14,9,96,0,10,3,
Classy 101,"Feid, Young Miko",2023,335222234.0,100,B,Major,86,67,66,14,0,12,16,Very High
Like Crazy,Jimin,2023,363369738.0,120,G,Major,63,36,73,0,0,36,4,Very High
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023,86444842.0,140,F,Minor,65,87,74,22,0,42,4,Low
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,2023,52135248.0,123,F#,Major,69,82,76,6,0,6,3,
I Wanna Be Yours,Arctic Monkeys,2013,1297026226.0,135,,Minor,48,44,42,12,2,11,3,Very High
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023,200647221.0,133,F,Minor,85,81,67,26,0,12,5,Very High
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023,115364561.0,99,C#,Major,85,83,68,7,0,36,20,Medium
SABOR FRESA,Fuerza Regida,2023,78300654.0,130,G,Minor,79,96,86,9,0,9,9,
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2022,899183384.0,107,B,Major,80,82,80,43,0,14,4,Very High
MOJABI GHOST,"Tainy, Bad Bunny",2023,61245289.0,122,F#,Minor,81,74,71,14,0,56,4,
Last Night,Morgan Wallen,2023,429829812.0,204,F#,Major,52,52,68,46,0,15,4,Very High
Dance The Night (From Barbie The Album),Dua Lipa,2023,127408954.0,110,B,Minor,67,78,85,2,0,33,5,High
Rush,Troye Sivan,2023,22581161.0,126,F,Minor,74,35,84,0,0,11,6,
TULUM,"Peso Pluma, Grupo Frontera",2023,52294266.0,168,F#,Major,56,63,87,39,0,11,5,
Creepin',"The Weeknd, 21 Savage, Metro Boomin",2022,843957510.0,98,C#,Minor,71,17,61,36,0,8,5,Very High
Anti-Hero,Taylor Swift,2022,999748277.0,97,E,Major,64,51,63,12,0,19,5,Very High
TQG,"Karol G, Shakira",2023,618990393.0,180,E,Minor,72,61,63,67,0,9,28,Very High
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,123122413.0,120,,Major,81,63,68,11,0,11,4,High
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2023,188933502.0,150,F#,Major,61,39,73,37,0,11,3,Very High
Blank Space,Taylor Swift,2014,1355959075.0,96,F,Major,75,57,68,9,0,13,6,Very High
Style,Taylor Swift,2014,786181836.0,95,D,Major,60,48,79,0,0,12,4,Very High
TQM,Fuerza Regida,2023,176553476.0,125,F,Minor,79,96,85,27,0,11,6,Very High
El Azul,"Junior H, Peso Pluma",2023,354495408.0,144,A,Minor,56,84,65,23,0,10,6,Very High
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018,2808096550.0,90,D,Major,76,91,50,54,0,7,5,Very High
I'm Good (Blue),"Bebe Rexha, David Guetta",2022,1109433169.0,128,G,Minor,56,38,97,4,0,35,4,Very High
See You Again,"Tyler, The Creator, Kali Uchis",2017,1047101291.0,79,F#,Major,56,58,56,37,0,11,10,Very High
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",2023,65156199.0,144,,Major,77,75,58,52,0,23,25,
Angels Like You,Miley Cyrus,2020,570515054.0,122,F,Major,67,49,64,10,0,10,3,Very High
I Ain't Worried,OneRepublic,2022,1085685420.0,140,,Major,71,82,81,11,0,6,5,Very High
Die For You,The Weeknd,2016,1647990401.0,134,C#,Minor,59,51,52,9,0,15,7,Very High
Starboy,"The Weeknd, Daft Punk",2016,2565529693.0,186,G,Major,68,49,59,16,0,13,28,Very High
Die For You - Remix,"Ariana Grande, The Weeknd",2023,518745108.0,67,C#,Minor,53,50,53,23,0,44,7,Very High
El Cielo,"Feid, Myke Towers, Sky Rompiendo",2023,107753850.0,106,A#,Minor,72,17,64,7,0,10,5,Medium
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",2023,177740666.0,128,G,Major,60,23,91,0,0,12,3,Very High
AMARGURA,Karol G,2023,153372011.0,107,F#,Minor,92,55,70,18,0,15,7,Very High
(It Goes Like) Nanana - Edit,Peggy Gou,2023,57876440.0,130,G,Minor,67,96,88,12,19,8,4,
Another Love,Tom Odell,2012,1813673666.0,123,E,Minor,45,13,54,70,0,9,4,Very High
Blinding Lights,The Weeknd,2019,3703895074.0,171,C#,Major,50,38,80,0,0,9,7,Very High
Moonlight,Kali Uchis,2023,256483385.0,137,G,Minor,64,88,72,51,0,17,5,Very High
La Bachata,Manuel Turizo,2022,1214083358.0,125,G,Minor,84,85,68,58,0,22,4,Very High
S91,Karol G,2023,16011326.0,128,,Minor,86,42,72,59,0,9,19,
cardigan,Taylor Swift,2020,812019557.0,130,,Minor,61,53,58,55,0,27,4,Very High
Tï¿½ï¿,"dennis, MC Kevin o Chris",2023,111947664.0,130,B,Major,86,59,96,50,1,9,5,Medium
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2023,156338624.0,133,F,Major,70,86,81,25,0,25,5,Very High
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",2022,720434240.0,101,D,Major,88,72,59,62,0,9,3,Very High
BESO,"Rauw Alejandro, ROSALï¿½",2023,357925728.0,95,F,Minor,77,53,64,74,0,17,14,Very High
Hey Mor,"Ozuna, Feid",2022,674072710.0,98,C#,Minor,90,40,59,0,0,10,29,Very High
Yellow,Chris Molitor,1999,1755214421.0,173,B,Major,43,28,66,0,0,23,3,Very High
Karma,Taylor Swift,2022,404562836.0,90,G#,Major,64,10,62,7,0,48,7,Very High
People,Libianca,2022,373199958.0,198,A#,Minor,59,71,42,55,0,10,7,Very High
Overdrive,Post Malone,2023,14780425.0,140,C#,Major,56,48,73,0,0,35,4,
Enchanted (Taylor's Version),Taylor Swift,2023,39578178.0,82,G#,Major,51,22,53,1,0,15,3,
BABY HELLO,"Rauw Alejandro, Bizarrap",2023,54266102.0,130,C#,Minor,77,84,89,17,0,43,5,
Heat Waves,Glass Animals,2020,2557975762.0,81,B,Major,76,53,53,44,0,9,9,Very High
golden hour,JVKE,2022,751134527.0,94,C#,Minor,51,14,59,65,18,25,3,Very High
Sweater Weather,The Neighbourhood,2012,2282771485.0,124,A#,Major,61,41,81,5,2,10,3,Very High
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022,1356565093.0,128,D,Major,62,55,78,1,3,23,4,Very High
Viva La Vida,Coldplay,2008,1592909789.0,138,F,Minor,49,42,62,9,0,11,3,Very High
Here With Me,d4vd,2022,635412045.0,132,E,Major,58,27,48,50,0,12,3,Very High
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2022,1230675890.0,131,D,Major,71,24,47,1,0,27,9,Very High
Yandel 150,"Yandel, Feid",2022,585695368.0,168,F#,Minor,78,58,73,5,0,10,7,Very High
CORAZï¿½ï¿½N VA,Maria Becerra,2023,43857627.0,98,C#,Major,68,40,79,33,0,30,6,
Riptide,Vance Joy,1975,2009094673.0,102,C#,Major,48,50,73,43,0,15,4,Very High
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2022,600976848.0,101,A#,Major,34,32,57,78,0,20,3,Very High
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2023,39709092.0,130,F,Major,63,36,34,76,0,35,9,
Back To December (Taylor's Version),Taylor Swift,2023,39228929.0,142,D,Major,50,20,64,1,0,12,3,
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,2665343922.0,170,C#,Major,59,48,76,4,0,10,5,Very High
El Merengue,"Marshmello, Manuel Turizo",2023,223633238.0,124,G#,Minor,78,70,68,3,1,11,4,Very High
Someone You Loved,Lewis Capaldi,2018,2887241814.0,110,C#,Major,50,45,41,75,0,11,3,Very High
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2022,1440757818.0,92,C#,Minor,91,43,71,9,0,9,8,Very High
Makeba,Jain,2015,165484133.0,116,D,Major,82,40,66,39,51,25,7,Very High
MONTAGEM - FR PUNK,"Ayparia, unxbected",2012,58054811.0,129,A,Major,63,84,82,70,8,9,7,
Fast Car,Luke Combs,2023,157058870.0,98,G#,Major,71,67,60,19,0,12,3,Very High
What It Is (Solo Version),Doechii,2023,95131998.0,172,C#,Minor,74,76,76,6,0,10,9,Low
Coco Chanel,"Bad Bunny, Eladio Carrion",2023,250305248.0,150,D,Major,68,14,76,4,0,10,4,Very High
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,2017,685032533.0,136,A,Minor,62,19,53,11,0,6,4,Very High
Still With You,Jung Kook,2020,38411956.0,88,C#,Minor,53,34,47,9,0,83,4,
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2023,144565150.0,143,D#,Major,83,69,44,15,0,10,33,Very High
Say Yes To Heaven,Lana Del Rey,2023,127567540.0,100,F#,Minor,49,17,35,71,9,11,3,High
Snooze,SZA,2022,399686758.0,143,F,Major,56,39,55,14,0,11,13,Very High
Summertime Sadness,Lana Del Rey,2011,983637508.0,112,C#,Minor,56,24,66,7,0,12,3,Very High
Take Two,BTS,2023,118482347.0,93,G,Major,62,57,59,3,0,38,3,Medium
Lover,Taylor Swift,2012,882831184.0,206,G,Major,43,50,55,50,0,15,10,Very High
